,name,f,p,r,text
0,TextRank,0.266645856911126,0.27848101265822783,0.2573099415204678,"An algorithm designed for such an environment is called a serial algorithm, as opposed to parallel algorithms or distributed algorithms. Algorithm versus function computable by an algorithm: For a given function multiple algorithms may exist. The transition from one state to the next is not necessarily deterministic; some algorithms, known as randomized algorithms, incorporate random input.The concept of algorithm has existed for centuries. Brute-force search.Some problems may have multiple algorithms of differing complexity, while other problems might have no algorithms or no known efficient algorithms. 3 Formal description+Most detailed, ""lowest level"", gives the Turing machine's ""state table"".For an example of the simple algorithm ""Add m+n"" described in all three levels, see Algorithm#Examples. In the general case, a specialized algorithm or an algorithm that finds approximate solutions is used, depending on the difficulty of the problem. One of the most important aspects of algorithm design is creating an algorithm that has an efficient run-time, also known as its Big O. Whether randomized algorithms with polynomial time complexity can be the fastest algorithms for some problems is an open question known as the P versus NP problem. Simulation of an algorithm: computer (computor) language: Knuth advises the reader that ""the best way to learn an algorithm is to try it . Techniques for designing and implementing algorithm designs are also called algorithm design patterns, such as the template method pattern and decorator pattern. An example of a decrease and conquer algorithm is the binary search algorithm. Because an algorithm is a precise list of precise steps, the order of computation is always crucial to the functioning of the algorithm."
1,Gensim,0.2838461237877427,0.254071661237785,0.45614035087719296,"In mathematics and computer science, an algorithm ( (listen)) is a set of instructions, typically solve a class of problems or perform a computation.
As an effective method, an algorithm can be expressed within a finite amount of space and time and in a well-defined formal language for calculating a function.
Starting from an initial state and initial input (perhaps empty), the instructions describe a computation that, when executed, proceeds through a finite number of well-defined successive states, eventually producing ""output"" and terminating at a final ending state.
An informal definition could be ""a set of rules that precisely defines a sequence of operations"", which would include all computer programs, including programs that do not perform numeric calculations, and (for example) any prescribed bureaucratic procedure.
Such instructions are to be given quite explicitly, in a form in which they could be followed by a computing machine, or by a human who is capable of carrying out only very elementary operations on symbols.
Precise instructions (in language understood by ""the computer"") for a fast, efficient, ""good"" process that specifies the ""moves"" of ""the computer"" (machine or human, equipped with the necessary internally contained information and capabilities) to find, decode, and then process arbitrary input integers/symbols m and n, symbols + and = ...
The design of algorithms is part of many solution theories of operation research, such as dynamic programming and divide-and-conquer.
The same function may have several different algorithms"".Unfortunately, there may be a tradeoff between goodness (speed) and elegance (compactness)—an elegant program may take more steps to complete a computation than one less elegant.
For example, the subprogram in Euclid's algorithm to compute the remainder would execute much faster if the programmer had a ""modulus"" instruction available rather than just subtraction (or worse: just Minsky's ""decrement"").
Structured programming, canonical structures: Per the Church–Turing thesis, any algorithm can be computed by a model known to be Turing complete, and per Minsky's demonstrations, Turing completeness requires only four instruction types—conditional GOTO, unconditional GOTO, assignment, HALT.
In modern words, remainder r = l − q×s, q being the quotient, or remainder r is the ""modulus"", the integer-fractional part left over after the division.For Euclid's method to succeed, the starting lengths must satisfy two requirements: (i) the lengths must not be zero, AND (ii) the subtraction must be “proper”; i.e., a test must guarantee that the smaller of the two numbers is subtracted from the larger (alternately, the two can be equal so their subtraction yields zero).
The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s.
The analysis, and study of algorithms is a discipline of computer science, and is often practiced abstractly without the use of a specific programming language or implementation.
Iterative algorithms use repetitive constructs like loops and sometimes additional data structures like stacks to solve the given problems."
2,K-mean-2,0.04014488599976332,0.21428571428571427,0.03908794788273615,"But various authors' attempts to define the notion indicate that the word implies much more than this, something on the order of (for the addition example):++Precise instructions (in language understood by ""the computer"") for a fast, efficient, ""good"" process that specifies the ""moves"" of ""the computer"" (machine or human, equipped with the necessary internally contained information and capabilities) to find, decode, and then process arbitrary input integers/symbols m and n, symbols + and = ... and ""effectively"" produce, in a ""reasonable"" time, output-integer y at a specified place and in a specified format.The concept of algorithm is also used to define the notion of  decidability. Programming languages are primarily intended for expressing algorithms in a form that can be executed by a computer but are often used as a way to define or document algorithms. One criterion ... is the length of time taken to perform the algorithm .... Other criteria are adaptability of the algorithm to computers, its simplicity and elegance, etc""Chaitin: "" ... a program is 'elegant,' by which I mean that it's the smallest possible program for producing the output that it does""Chaitin prefaces his definition with: ""I'll show you can't prove that a program is 'elegant'""—such a proof would solve the Halting problem (ibid). The same function may have several different algorithms"".Unfortunately, there may be a tradeoff between goodness (speed) and elegance (compactness)—an elegant program may take more steps to complete a computation than one less elegant. When speed is being measured, the instruction set matters. (Quasi-)formal description:+Written in prose but much closer to the high-level language of a computer program, the following is the more formal coding of the algorithm in pseudocode or pidgin code:++Euclid's algorithm+Euclid's algorithm to compute the greatest common divisor (GCD) to two numbers appears as Proposition II in Book VII (""Elementary Number Theory"") of his Elements. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. The greedy method+A greedy algorithm is similar to a dynamic programming algorithm in that it works by examining substructures, in this case not of the problem but of a given solution. Such algorithms start with some solution, which may be given or have been constructed in some way, and improve it by making small modifications. For some problems they can find the optimal solution while for others they stop at local optima, that is, at solutions that cannot be improved by the algorithm but are not optimum. The most popular use of greedy algorithms is for finding the minimal spanning tree where finding the optimal solution is possible with this method. Huffman Tree, Kruskal, Prim, Sollin are greedy algorithms that can solve this optimization problem. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques."
3,K-mean-3,0.04063838498471122,0.17142857142857143,0.03908794788273615,"For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. When there are no numbers left in the set to iterate over, consider the current largest number to be the largest number of the set. Euclid stipulated this so that he could construct a reductio ad absurdum proof that the two numbers' common measure is in fact the greatest. For example, location L at the start might contain the number l = 3009. An inelegant program for Euclid's algorithm+The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s. The high-level description, shown in boldface, is adapted from Knuth 1973:2–4:+INPUT:++1 [Into two locations L and S put the numbers l and s that represent the two lengths]:+  INPUT L, S+2 [Initialize R: make the remaining length r equal to the starting/initial/input length l]:+  R ← L++E0: [Ensure r ≥ s.]++3 [Ensure the smaller of the two numbers is in S and the larger in R]:+  IF R > S THEN+    the contents of L is the larger number so skip over the exchange-steps 4, 5 and 6:+    GOTO step 6+  ELSE+    swap the contents of R and S.+4   L ← R (this first step is redundant, but is useful for later discussion). By field of study+Every field of science has its own problems and needs efficient algorithms. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. Linear time: if the time is proportional to the input size. Logarithmic time: if the time is a logarithmic function of the input size. ""Turing's reduction yields the following:++""The simple operations must therefore include:+""(a) Changes of the symbol on one of the observed squares+""(b) Changes of one of the squares observed to another square within L squares of one of the previously observed squares. The development of these ideas leads to the author's definition of a computable function, and to an identification of computability † with effective calculability ... ."
4,K-mean-4,0.040178249480914655,0.21052631578947367,0.03908794788273615,"For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. When there are no numbers left in the set to iterate over, consider the current largest number to be the largest number of the set. (Quasi-)formal description:+Written in prose but much closer to the high-level language of a computer program, the following is the more formal coding of the algorithm in pseudocode or pidgin code:++Euclid's algorithm+Euclid's algorithm to compute the greatest common divisor (GCD) to two numbers appears as Proposition II in Book VII (""Elementary Number Theory"") of his Elements. Euclid's original proof adds a third requirement: the two lengths must not be prime to one another. A location is symbolized by upper case letter(s), e.g. This notion may be expressed as: Algorithm = logic + control. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Such algorithms include local search, tabu search, simulated annealing, and genetic algorithms. When a bound on the error of the non-optimal solution is known, the algorithm is further categorized as an approximation algorithm. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. The work of Frege was further simplified and amplified by Alfred North Whitehead and Bertrand Russell in their Principia Mathematica (1910–1913). We may suppose that there is a bound B to the number of symbols or squares which the computer can observe at one moment. ""A few years later, Turing expanded his analysis (thesis, definition) with this forceful expression of it:++""A function is said to be ""effectively calculable"" if its values can be found by some purely mechanical process."
5,K-mean-5,0.04049217952312408,0.18181818181818182,0.03908794788273615,"But various authors' attempts to define the notion indicate that the word implies much more than this, something on the order of (for the addition example):++Precise instructions (in language understood by ""the computer"") for a fast, efficient, ""good"" process that specifies the ""moves"" of ""the computer"" (machine or human, equipped with the necessary internally contained information and capabilities) to find, decode, and then process arbitrary input integers/symbols m and n, symbols + and = ... and ""effectively"" produce, in a ""reasonable"" time, output-integer y at a specified place and in a specified format.The concept of algorithm is also used to define the notion of  decidability. Gurevich: ""...Turing's informal argument in favor of his thesis justifies a stronger thesis: every algorithm can be simulated by a Turing machine ... according to Savage [1987], an algorithm is a computational process defined by a Turing machine"". When speed is being measured, the instruction set matters. Assume the first number in the set is the largest number in the set. For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. The varying quantity (number) in a location is written in lower case letter(s) and (usually) associated with the location's name. Now ""Elegant"" computes the example-numbers faster; whether this is always the case for any given A, B, and R, S would require a detailed analysis. Optimization problems+For optimization problems there is a more specific classification of algorithms; an algorithm for such problems may fall into one or more of the general categories described above as well as into one of the following:++Linear programming+When searching for optimal solutions to a linear function bound to linear equality and inequality constraints, the constraints of the problem can be used directly in producing the optimal solutions. If a problem additionally requires that one or more of the unknowns must be an integer then it is classified in integer programming. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Some of them, like simulated annealing, are non-deterministic algorithms while others, like tabu search, are deterministic. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. Mathematics during the 19th century up to the mid-20th century+Symbols and rules: In rapid succession, the mathematics of George Boole (1847, 1854), Gottlob Frege (1879), and Giuseppe Peano (1888–1889) reduced arithmetic to a sequence of symbols manipulated by rules."
6,K-mean-6,0.040750170682520244,0.1643835616438356,0.03908794788273615,"Assume the first number in the set is the largest number in the set. For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. For example, location L at the start might contain the number l = 3009. An inelegant program for Euclid's algorithm+The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s. The high-level description, shown in boldface, is adapted from Knuth 1973:2–4:+INPUT:++1 [Into two locations L and S put the numbers l and s that represent the two lengths]:+  INPUT L, S+2 [Initialize R: make the remaining length r equal to the starting/initial/input length l]:+  R ← L++E0: [Ensure r ≥ s.]++3 [Ensure the smaller of the two numbers is in S and the larger in R]:+  IF R > S THEN+    the contents of L is the larger number so skip over the exchange-steps 4, 5 and 6:+    GOTO step 6+  ELSE+    swap the contents of R and S.+4   L ← R (this first step is redundant, but is useful for later discussion). The following version can be used with Object Oriented languages:++Testing the Euclid algorithms+Does an algorithm do what its author wants it to do? But tests are not enough. If a problem additionally requires that one or more of the unknowns must be an integer then it is classified in integer programming. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Some of them, like simulated annealing, are non-deterministic algorithms while others, like tabu search, are deterministic. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. The resultant considerations led to Kurt Gödel's paper (1931)—he specifically cites the paradox of the liar—that completely reduces rules of recursion to numbers. Alan Turing's proof of that the Entscheidungsproblem was unsolvable by use of his ""a- [automatic-] machine""—in effect almost identical to Post's ""formulation"", J. Barkley Rosser's definition of ""effective method"" in terms of ""a machine""."
7,K-mean-7,0.0372180496349753,0.15942028985507245,0.035830618892508145,"Algorithm versus function computable by an algorithm: For a given function multiple algorithms may exist. For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. Euclid stipulated this so that he could construct a reductio ad absurdum proof that the two numbers' common measure is in fact the greatest. So, to be precise, the following is really Nicomachus' algorithm. Computer language for Euclid's algorithm+Only a few instruction types are required to execute Euclid's algorithm—some logical tests (conditional GOTO), unconditional GOTO, assignment (replacement), and subtraction. The varying quantity (number) in a location is written in lower case letter(s) and (usually) associated with the location's name. An inelegant program for Euclid's algorithm+The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s. The high-level description, shown in boldface, is adapted from Knuth 1973:2–4:+INPUT:++1 [Into two locations L and S put the numbers l and s that represent the two lengths]:+  INPUT L, S+2 [Initialize R: make the remaining length r equal to the starting/initial/input length l]:+  R ← L++E0: [Ensure r ≥ s.]++3 [Ensure the smaller of the two numbers is in S and the larger in R]:+  IF R > S THEN+    the contents of L is the larger number so skip over the exchange-steps 4, 5 and 6:+    GOTO step 6+  ELSE+    swap the contents of R and S.+4   L ← R (this first step is redundant, but is useful for later discussion). If a problem additionally requires that one or more of the unknowns must be an integer then it is classified in integer programming. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. Polynomial time: if the time is a power of the input size. We may suppose that there is a bound B to the number of symbols or squares which the computer can observe at one moment. ""(B) A possible change (b) of observed squares, together with a possible change of state of mind""""We may now construct a machine to do the work of this computer."
8,K-mean-8,0.04071272622609596,0.16666666666666666,0.03908794788273615,"procedure and the notion of function computable by algorithm, i.e. The same function may have several different algorithms"".Unfortunately, there may be a tradeoff between goodness (speed) and elegance (compactness)—an elegant program may take more steps to complete a computation than one less elegant. An example that uses Euclid's algorithm appears below. Computers (and computors), models of computation: A computer (or human ""computor"") is a restricted type of machine, a ""discrete deterministic mechanical device"" that blindly follows its instructions. Structured programming, canonical structures: Per the Church–Turing thesis, any algorithm can be computed by a model known to be Turing complete, and per Minsky's demonstrations, Turing completeness requires only four instruction types—conditional GOTO, unconditional GOTO, assignment, HALT. For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. A location is symbolized by upper case letter(s), e.g. An inelegant program for Euclid's algorithm+The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s. The high-level description, shown in boldface, is adapted from Knuth 1973:2–4:+INPUT:++1 [Into two locations L and S put the numbers l and s that represent the two lengths]:+  INPUT L, S+2 [Initialize R: make the remaining length r equal to the starting/initial/input length l]:+  R ← L++E0: [Ensure r ≥ s.]++3 [Ensure the smaller of the two numbers is in S and the larger in R]:+  IF R > S THEN+    the contents of L is the larger number so skip over the exchange-steps 4, 5 and 6:+    GOTO step 6+  ELSE+    swap the contents of R and S.+4   L ← R (this first step is redundant, but is useful for later discussion). This notion may be expressed as: Algorithm = logic + control. Optimization problems+For optimization problems there is a more specific classification of algorithms; an algorithm for such problems may fall into one or more of the general categories described above as well as into one of the following:++Linear programming+When searching for optimal solutions to a linear function bound to linear equality and inequality constraints, the constraints of the problem can be used directly in producing the optimal solutions. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Some example classes are search algorithms, sorting algorithms, merge algorithms, numerical algorithms, graph algorithms, string algorithms, computational geometric algorithms, combinatorial algorithms, medical algorithms, machine learning, cryptography, data compression algorithms and parsing techniques. We will also suppose that the number of states of mind which need be taken into account is finite...""Let us imagine that the operations performed by the computer to be split up into 'simple operations' which are so elementary that it is not easy to imagine them further divided."
9,K-mean-9,0.04063838498471122,0.17142857142857143,0.03908794788273615,"There is an example below of such an assignment. procedure and the notion of function computable by algorithm, i.e. Structured programming, canonical structures: Per the Church–Turing thesis, any algorithm can be computed by a model known to be Turing complete, and per Minsky's demonstrations, Turing completeness requires only four instruction types—conditional GOTO, unconditional GOTO, assignment, HALT. For each remaining number in the set: if this number is larger than the current largest number, consider this number to be the largest number in the set. An inelegant program for Euclid's algorithm+The following algorithm is framed as Knuth's four-step version of Euclid's and Nicomachus', but, rather than using division to find the remainder, it uses successive subtractions of the shorter length s from the remaining length r until r is less than s. The high-level description, shown in boldface, is adapted from Knuth 1973:2–4:+INPUT:++1 [Into two locations L and S put the numbers l and s that represent the two lengths]:+  INPUT L, S+2 [Initialize R: make the remaining length r equal to the starting/initial/input length l]:+  R ← L++E0: [Ensure r ≥ s.]++3 [Ensure the smaller of the two numbers is in S and the larger in R]:+  IF R > S THEN+    the contents of L is the larger number so skip over the exchange-steps 4, 5 and 6:+    GOTO step 6+  ELSE+    swap the contents of R and S.+4   L ← R (this first step is redundant, but is useful for later discussion). In the (unstructured) Basic language, the steps are numbered, and the instruction LET [] = [] is the assignment instruction symbolized by ←. But tests are not enough. An algorithm designed for such an environment is called a serial algorithm, as opposed to parallel algorithms or distributed algorithms. Some problems have no parallel algorithms and are called inherently serial problems. Back tracking+In this approach, multiple solutions are built incrementally and abandoned when it is determined that they cannot lead to a valid full solution. Dynamic programming+When a problem shows optimal substructures—meaning the optimal solution to a problem can be constructed from optimal solutions to subproblems—and overlapping subproblems, meaning the same subproblems are used to solve many different problem instances, a quicker approach called dynamic programming avoids recomputing solutions that have already been computed. Fields tend to overlap with each other, and algorithm advances in one field may improve those of other, sometimes completely unrelated, fields. Polynomial time: if the time is a power of the input size."
